speech_id,sentence_id,sentence_text,amr_penman,amr_nodes,amr_edges,amr_depth
1000000010,1000000010_00000,with the outgoing speaker and the minority leader of several years past escorting us into the chamber i was reminded of my having lost three similar elections to the distinguished former speaker as did john rhodes before me as you know the former speaker was fond of telling the story of how republican aspirants had a longing on this chair but that it was the only part of the anatomy that would be on it so far as our republican side is concerned and as i read biblical scripture the admonition is that thou shalt not covet i have abided by that teaching but i am afraid it will not diminish my desire to occupy the chair someday i want to publicly thank my republican colleagues for again according me the very high honor of being your candidate for speaker and having lost the election in the contest as preordained by last novembers election of now being your leader in the new congress to our democratic colleagues on the majority side may i say that even though we in the minority are in the minority on our side we intend to play a constructive role in the deliberations of this house and to be sure there will be times when partisanship prevails but i hope there will be more occasions when good sense dictates that we work together in a bipartisan way for the good of our country it is very appropriate that we begin this historic 100th congress on the birthday of one of our truly great speakers sam rayburn of -texas thirty years ago jim wright and bob michel served with speaker rayburn as junior members of this body i would hope our new speakerelect would want to emulate the manner in which his mentor presided over this house as we look back in our history there were times when the members knew far less about their incoming speakers abilities than we know about our speakerelect the distinguished gentleman from texas hasserved in this body for 32 years working skillfully and adroitly up through the ranks so to speak to become the 47th member of this body to become its speaker he knows this institution inside out he is familiar with the rules and with their many nuances he is in fact a product of this house,,389,388,7
1000000010,1000000010_00001,so i have no other recourse but to personally congratulate the distinguished gentleman from texas for his notable marks of achievement that brought him to this pinnacle our wish for him is that he rule this house wisely with a firm and steady hand that he look with equal favor to his left as well as to his right and that he will preside with a high standard of fairness and impartiality members of the house it is my high privilege to present to you the new speaker of the 100th congress the distinguished gentleman from the great state of texas,,101,100,7
1000000011,1000000011_00000,let it be observed that the outsize gavel i am presently using is a gift from the speaker of the texas house of representatives gib lewis who said he had been watching television coverage of the house on cspan and could not understand why we in congress were using what he called such wimpy little gavels to be presented to this chamber by my friend bob michel is as great an honor as i could expect or want i cannot imagine anyone by whom i would prefer to be presented bob with regard to your expressed aspirations and longing for the chair i just want to observe that you have done such a magnificent job as minority leader that i hope you will serve there for a long time to come let me say in seriousness that the gentleman from illinois bob michel is an outstanding exemplar of this institution and of the american twoparty system sometimes he and i have been on opposite sides of political issues but on other occasions we have worked in collaboration for things that sustain and strengthen this nation that all of us love in the last congress the minority leader and i worked together in a completely bipartisan way along with the chairmen and ranking minority members of the committee to perfect legislation designed to combat terrorism and deadly drugs,,227,226,7
1000000011,1000000011_00001,i know that there will be similar opportunities in the future where the national interest overrides all other considerations and for the purposes of which the members of this house will abolish the center aisle and work as one the vigorous clash of ideas in this forum and the healthy competition between political parties have always been part of the fuel that propels the engines of democracy,,67,66,6
1000000011,1000000011_00002,yet i think all of us know in the final analysis that he serves his party best who serves his country best he serves his region best who serves his nation first the things we celebrate today are the things that unite us not the things that divide us if i might speak two thoughts for all of us democrats and republicans alike the first would be a word of sincere thanks to the gentleman who served longer continuously in this office as speaker than any predecessor who 10 years ago broke from precedent to invite his immediate predecessor as speaker to escort him down the aisle and to this rostrum and who today has done that very great personal favor for me at my invitation for the grace and charm and wit for the dedication and the skill that he shared with us these 10 years of his speakership for the example of high patriotism that he set and for the lasting inspiration that he leaves our abiding thanks and abounding best wishes always to thomas p oneill jr,,180,179,7
1000000011,1000000011_00003,a second sentiment which we all share today is a heartfelt wish for the president of the united states for his personal health and wellbeing and our earnest hopes and fervent prayers for his speedy recovery and early return whole and happy to the joys and challenges of the biggest job on earth mr president get well now if the members will allow me an intensely personal expression i am deeply conscious that i did not get here alone truly none of us did the privilege which i have today is possible only because of the sacrificial gifts of love and time energy effort and substance of encouragement and inspiration on the part of many people i want to acknowledge a special debt to the people of the 12th congressional district of texas without whose unflagging friendship and support i could not have attained this position particularly most particularly to my family to my wife betty who is my constant inspiration and to my children jimmy ginger kay and lisathank you for your understanding all these years to stand here in this place at this time by your choice is a treasure more precious than any material possession and an honor more sublime than royalty to be speaker of the u s house of representatives is the highest responsibility that can come to a lawmaker anywhere in the world it is a gift which only the members of this house can give aware of the greatness of your gift i offer you the abounding thanks of a full and grateful heart aware of the responsibilities it entails i pledge to do my very best to the end that all of us together may achieve the grand expectations of those who wrote the constitution 200 years ago and the contemporary hopes of our fellow americans who last november elected us and sent us here to attend to the unfinished business of our nation today we observe a historic occasion the beginning of this 100th congress testifies to the durability and vitality of the constitution of the united states which now has made us the oldest republic on earth the british prime minister william gladstone called our constitution the most perfect instrument of government ever set down by the hand of man at a given time the system it put in motion has endured the crushing pressures of change and challenge for two centuries bombarded by recurrent social crisis and economic panic it has remained intact it survived the shattering experience of the civil war which spilled our blood and drained our treasure and split our country temporarily in two it has seen us safely through two major world wars and cataclysmic international upheavals and it is fully equal by gods grace to the needs of our present time we are its custodians those men of principle and vision who pend that deed to freedom had in mind a very special place for the congress ours is a creative and dynamic role we alone can legislate only we can appropriate we are expected to initiate to innovate to see the obstacles on the road ahead and chart a path around them for our nation this day as the gentleman from illinois already has pointed out has a special additional significance to me today january 6 marks the 105th anniversary of the birth of my mentor speaker sam rayburn who had a sense of reverence for the orderly democratic processes of our institution after 47 years in this house he still viewed it with awe the u s congress mr rayburn said is the highest theater anyone plays in upon this earth today and yet it is the very nature of our political system that those whom it exalts it also humbles let no man or woman be deluded each of us who comes here is the recipient of a great privilege we are here by the invitation and choice of our fellow citizens we are ordinary men and women grappling with extraordinary problems this is the peoples house this is the nations town hall as thaddeus stevens once said this is not a government of kings and satraps this is a government of the people and congress is the people so let us define our relationship with the other coequal branches in this delicately contrived balance of powers as we enter the third century of constitutional government determined to make it work in our present age it will be my duty as your speaker to defend and uphold the house in all relationships at all times in all places still we seek not confrontation but cooperation to the chief executive we extend the high respect which is his rightful due we shall be attentive to his requests and supportive when possible when he speaks for our nation in international councils we want him to succeed just as the president cannot legislate nor appropriate so we cannot negotiate the two branches need the cooperation of one another if our system is to work and cooperation is a twoway street just as the nation does not want an imperial presidency neither does it want or need an enfeebled presidency it deserves a congress that is thoughtful helpful creative neither suppinely submissive nor blindly obstructive we present ourselves to the president therefore not as a rival center of power but as -a partnernot as a junior partner in the business of government but as a full and equal partner that is what the constitution intends we ask no more we will settle for no less we enter the third century with serious problems we should ritt deny them nor pretend they do not exist,,949,948,7
1000000011,1000000011_00004,but neither should we be hypnotized by them nor let them blind us to the good we can do in the past 6 years this government has doubled the national debt added more than all previous generations combined unless we make dramatic changes the publics debt will triple in the short span of this one decade the american people want better than that future generations deserve better than that we can do better than that in the past few years we have witnessed the growth of a staggering trade deficit it is closing our factories drying up american jobs eroding our industrial base making us dangerously dependent upon foreign countries just 4 years ago we were the worlds largest creditor nation today we are the worlds largest debtor nation we can do better than that,,135,134,7
1000000011,1000000011_00005,and we must for all of americas magnificent history we have been an upwardly mobile people each generation has done a little better than the one before it has been better educated better employed better housed that is what we have called the american dream as our country grew more and ever more of our people entered the mainstream fewer and ever fewer were denied we built for the future and dreamed a dream of a country in which the humblest child born of the most improvident circumstances might have as his or her birthright the opportunity to get as good a public education as anyone could get anywhere on earth the right to have -meaningful work and the right to have a piece of the action in american society we have worked toward that goal now we face a new and unaccustomed phenomenon alien to our experience the average 30year old american couple today is finding it harder than their parents not easier to buy a new car harder not easier to own a home the average 45yearold father and mother find it harder to send their children through college the gap between the richest and poorest has widened now that is simply unacceptable that is retrogression america is not prepared to go into decline we are not ready for downward mobility our future is not behind us we can do better than that,,235,234,7
1000000011,1000000011_00006,and we must in these and other concernsthe plight of the family farm the state of americas banking and credit systems the need to rehabilitate our aging public infrastructure our still unsatisfied thirst for true excellence in public educationin all of this let us be mindful above all of the obligation that we owe tofuture generations it is their birthright that we hold in trusteeship let us so conduct ourselves in this 100th congress that 200 years from now at the beginning of the 200th congress another generation of americans may look back- at this halfway point in this history and be grateful for our stewardship the very first act of the first congress was a law prescribing the oath to be taken by every speaker by every president andvice president by every member of the house and the senate by all officials of all the states upon entering public office it is an oath to uphold and defend the constitution of the united states as we individually and collectively take this ancient oath today let us renew our vows let us with gratitude for the privilege that is ours ask almighty god that he shall grant to each of us a portion of the vision to see the right the courage to stand for the right the honesty to admit human error and the love that binds our nation and our people together to the end that we may continue to be not the envy of the world but an inspiration to the world and an instrument of his peace now if the distinguished gentlemen from mississippi the dean of the -house the chairman -of the appropriations committee mr witm will step to the well of the chamber i am prepared to take the oath of office,,298,297,7
1000000029,1000000029_00000,the chair appoints as members of the committee on the part of the house to join thecommittee on the part of the senate to notify the president of the united states that a quorum of each house has been assembled and that the congress is ready to receive any communication that he may be pleased to make the gentleman from washington mr folzy1 and the gentleman from illinois mr michel,,70,69,6
1000000040,1000000040_00000,the recommended rules changes embodied in house resolution 5 comprise a relatively modest package of changes and additions to the rules of the house and with one exception make very small changes in the way we do busi ness in the house of representatives at this time i would like to take a few minutes to briefly summarize these recommended changes the first amendment strikes paragraph 2 c of rule x and by doing so deletes the current requirement that at the beginning of each congress representatives of the committee on government operations meet with representatives of other standing committees of the house to discuss and assist in coordinating oversight activities for the new congress and for the- committee on government operations to publish a report to the house about such oversight activities within 60 days after the congress convenes because this same oversight information is submitted to the committee on house administration as part of each committees annual budget justifications and is published by the committee on house administration with the omnibus committee funding resolution elimination of this requirement that the committee on government operations must publish this report will not result in any lessening of the responsibilities of the committees of the house to determine at the start of each new congress what oversight responsibilities they intend to undertake in the coming 2 years rather this amendment to the rules of the house eliminates duplicative publications while at the same time ensures that a published record is available to the public regardingthe intentions of the committees of the house in fulfilling their oversight responsibilities -the second amendment eliminates grandfather language in clause l e 1 c of rule x which was incorporated in the rules for those members who began service on the budget committee when it was constituted in august 1974 this amendment is technical in nature and affects no sitting member of congress the third amendment merely changes the name of the committee on science and technology to the committee on science space and technology by amending clause l r of rule x the fourth rules change is to clause 4 c of rule xi this rule currently allows any member of the committee on rules to call up a rule joint rule -or order of business resolution reported from the committee on rules that has not been called up for consideration within 7 legislative days since that rule attaches a privileged status to such reports the member of the rules committee calling it up for con- sideration is required to be recognized by the speaker except when matters of equal or higher privilege might be pending this rules change would require any member of the committee on rules seeking toecall up a rule joint rule or order of business resolution under the provisions of clause 4 c ofrule xi to have notified the house of his intention on the preceding day by requiring this notice the minority will still be entitled to call up pending rules as will any other member of the committee but the house will have advance notice of such members intention and the leadership can schedule the business of the day around that members intended action the fifth rules change expands upon an amendment adopted by the house -in the 99th congress two years ago the house amended clause 5 f of rule xi to -provide for automatic funding for all standing and certain select committees for the first 3 months of the first session of a congress this proposed rules change will make that automatic funding mechanism applicable to the first 3 months of the second session of a congress as well this amendment retains the funding entitlement which allows committees to spend for each month of the interim funding period 9 percent of the total annualized amount made available to each committee under the expense resolution for the committees for the preceding session of congress however this amendment goes one step beyond the language adopted 2 years ago by allowing the committee on house administration to establish interim funding at a lower percentage without adoption of an expense resolution authorizing such a lower level of funding this authority would be exercised by the committee on house administration if in its determination sufficient funds were not available to support a 9 percent monthly entitlement this authority could be used by the committee on house administration in order to comply witha sequestration order issued under the balanced budget and emergency delicit control act of 1985 or if insufficient funds are available to fund the committees at the 9 percent level the sixth rules change is the only proposed change that will significantly alter the way we do business in the house of representatives this amendment to rule xiv modifies the practices of the house to allow direct reference to the senate during house debate as members are aware jeffersons manual prohibits the direct reference to the -senate by a member of the house of representatives during debate because jeffersons stands in force in the house like a house rule this prohibition has led to some very artful attempts to refer to the other body in those cases when a member does not make reference to the senate in an artful -and circumlocutious manner the chair has the responsibil- ity to admonish that member to abide by the restrictions embodied in jeffersons manual the amendment before members alters the current practice in the house and will allow factual reference to the senate its actions as well as its inactions bills resolutions and amendments and their senate sponsors and to the status of those bills resolutions and amendments the amendment doesnot however allow characterizations of the senate or its members and it does not allow expression of personal opinion about the senate or its members this amendment preserves and protects the spirit of jeffersons by recognizing that it would serve no useful purpose in the maintenance of comity between the two houses to allow the membership of the house to characterize or express personal opinion either good or bad but at the same time the amendment does recognize that we live in a modem world where immediacy of information compels us to take note of the actions of our colleagues on the other side of the capitol i believe this amendment will allow members the freedom to make necessary reference to the senate but will not allow for namecalling which would lessen the dignity of debate in the house the seventh amendment to the rules of the house amends clause 4 of rule xliii to increase from 35 to 50 or less the fair market value of a gift not including personal hospitality of an individual which may be accepted by a member officer or employee of the house in any calendar year not to be counted toward the aggregate of 100 or more in value which may be accepted directly or indirectly from any personother than a relativehaving direct interest in legislation before the congress or who is a foreign national or agent of a foreign national the eighth rules change proposes to amend clause 9 rule xliii to prohibit discrimination in employment by any member officer or employee of the house on the basis of age as well as on the basis of race color religion sex or national origin which are currently expressly prohibited in the rules of the house in the 99th congress amendments were adopted to the age discrimination in employment act to prohibit any age discrimination in employment the provisions of that act do not apply to congress and as a matter of constitutional separation of powers the house is acting through this amendment to establish its own protections against age discrimination through an exercise in rulemaking power the ninth amendment is a technical amendment to clause 7 c 1 of rule xlviii to clarify what information may be made public by the permanent select committee on intelligence and the amendment does not n any way restrict alter or expand the amount of information that the committee may vote to disclose the ninth and final amendment also amends rule xlviii to increase the size of the intelligence committee from 16 to 17 members that concludes my explanation of the package of rules amendments embodied in the resolution pending,,1391,1390,7
1000000042,1000000042_00000,back in 1965 our former colleague from missouri congressman bolling published a book entitled house out of order in that book he charged that the house was not functioning properly because power was too concentrated in senior committee chairmen and the rules committee neither of which he felt were representative of the american people that book helped spark a congressional reform revolution over the next decade it gave us the legislative reorganization act the war powers resolution the budget act the committee reform amendments and numerous king caucus reforms that further opened the house and dispersed power while many of the reforms of that turbulent decade have been beneficial others have had the opposite effectparticularly those that gave rise to a proliferation of semlautomous subcommittees as a result the house is probably more out order today than it was 22 years ago the fact is this house is failing miserably at its three primary responsibilities policymaking oversight and controlling the purse strings the heart of the policy process in the house our committee system has clogged arteries as a result of layers of fatty tissue congressional oversight is something that is largely overlooked and our purse strings are hopelessly tangled in budget and appropriations hoops that dominate our sessions yet still come out days late and dollars short on savings why arent our authorizing committees doing their jobs for one thing they get organized late each congress and then only work 2 or 3 days a week when they finally do start reporting bills they are lucky if their legislation can be squeezed in between budget and appropriations measures for another thing our committeeslike gulliverare hamstrung and tied down by a lilliputian system of subcommittees and staff ensuring duplication- conflict and delays what about our constitutional powers of the purse despite the landmark budget reform act of 1974 the fact is we are doing a much worse job of budgeting today than we were 22 years ago not only do we have bigger deficits but we still cant get our spending bills enacted on time the fact is last year we did much worse on enacting regular appropriations bills than we did 22 years ago whereas in the 89th congress we at least enacted two appropriation bills prior to the start of the fiscal year in each session in the 99th congress we had enacted none by the start of the fiscal new year in either session and whereas in the 89th congress all the regular appropriations bills were eventually enacted separately in both sessions in the 99th congress only six money bills were separately enacted in the first session and in the second session we achieved the ultimate in purse string paralysis not one appropriation bill was separately enacted instead we ended up enacting one omnibus money bill that rolled everything into one ball of waxthe largest spending bill in the history of the republic as we approach the commemoration of the 200th anniversary of our constitution this year we would do well to examine this sorry state of affairs and vow to restore this house to its proper role under that document what we are proposing on this side is a bicentennial house restoration project that reforms house rules and procedures in such a way as to revitalize the policy oversight and budgetary processes of this body first we propose to organize our committees earlier within three legislative days after their election so we can hit the ground running second we propose more 5day workweeks so committees can do their policy and oversight jobs properly third we propose to limit committees to no more than six subcommittees and members to no more than four subcommittee assignments and to abolish the joint referral of billsall to allow for more conscientious legislating and less duplication of effort with the reduction of subcommittees f member assignments we feel it wili,,649,648,7
1000000042,1000000042_00001,oe possible to accomplish our other reforms a 10percent reduction in committee staffs and the elimination of proxy voting and onethird quorum,,22,21,2
1000000042,1000000042_00002,rules we should no longer have need for these phantom legislative devices that were found necessary because members could not attend all their committee and subcommittee meetings and hearings abolishing these phantom devices together with our requirement for equitable party ratios on committees should help to ensure more conscientious representative and accountable legislating at the committee level and less need to rewrite bills once they reach the floor we would also require formal adoption of committee oversight agendas to ensure a more systematic approach to fulfilling that important responsibility of the congress in the area of budget reform our package calls for a special task force to report back in 3 months its recommendations for improving the budget process also in the area of budget reform we propose a rule to require a twothirds vote to consider any waiver of budget act rules and a prohibition against the inclusion of extraneous materials in reconciliation bills in the appropriations area we propose a formula whereby any shortterm continuing appropriations of 30 days or less comply with a set formula providing only for the lower of certain amounts and that longterm continuing appropriations bills conform to the same rules as regular appropriations bills regarding unauthorized and legislative provisions and cost estimates we would also require that such longterm bills contain the full text of language to be enacted rather than references to other bills and that provisions not previously adopted by the house be subject to amendment and h 8 not be protected against points of order except by twothirds vote if we are going to start legislating in such omnibus bills lets subject them to strict rules and procedures we urge the defeat of the previous question on this resolution so that our republican leader mr micas may be recognized to at least offer this bicentennial house restoration project of reforms defeating the previous question- does not necessarily imply support for our package but it does indicate a willingness to at least debate them for an hour consider them on their merits and then have a direct or them before voting on the resolution reported from the democratic caucus lets make this 100th congress a truly historic one by adopting this package of house reforms that will permit this house to once again fully realize its constitutional role and potential now after the vote on the previous question we are entitled on this side of the aisle to offer a motion to commit with instructions we will as we have in the past take advantage of that opportunity there will be a motion offered to commit with instructions those instructions would be this during the 100th congress this historic congress no bill joint resolution or amendment shall be reported or considered if it contains any provision to increase marginal tax rates from the 15 and 28 percent rates for individuals or the 24percent top rates for business as provided for by the tax reform act of 1986 public law 99514 or which reduces or eliminates deductions or credits unless matched dollar for dollar by further reducing tax rates for the purposes of this paragraph any provision to delay the effective dates of such rates shall be construed as a tax increase we should clearly air this issue the first day of this 100th congress we should say this first day in adopting this motion to commit with instructions that we will not allow for individual tax rate increases beyond what we just passed late last year the american people are still in doubt as to exactly what was in that tax reform package they thought they had their rates reduced and to have discussion now which i have been shocked to hear that we might come right back and in less than a year in fact in only perhaps weeks that the house of representatives the congress would presume to consider raising individual tax rates is beyond my comprehension and the american people need to know on this first day in this first vote that they will not have to worry about that issue others will speak more to this particular point on the motion to commit and also on the rules in a moment following is the proposed house republican rules package for the 100th congress,,716,715,7
1000000044,1000000044_00000,i thank the gentleman the package of rules that has been presented by the miajority preserves as i understand it it preserves for yet another term the poisonous practice of proxy voting in committee it is poisonous every single member of the congress knows that and what is news to many members of the congress or could be news is that the american public understands what this proxy voting is all about they know more than we believe that they know that the business of the congress the actual gut of what we accomplish in the congress of the united states is accomplished on the committee level and in the subcommittee level they also knew very well that what happens on the floor of the house of representatives following the work of the committees is simply a final formality replete with dramatics and theatrics that we put together in order to reemphasize what has already been done in committee therefore the american public knows full well that the business of the american public is accomplished when it is accomplished at the subcommittee and committee level that is why it is extremely important that there be no proxy voting can you imagine to have a vital subject such as taxation or foreign policy or crime control or constitutional change or anything of that magnitude and some even more stupendously important than those -that i have outlined to be able to be voted in or voted down by virtue of a chairman sitting there in subcommittee and voting his colleagues by a written vote without knowing in the final analysis how they really would be voting on that occasion that is what is the poisonous practice of proxy which we must eliminate yet this package of rules that we are asked to adopt by the majority pre serves that practice and preserves it because the majority knows it serves its interests best to preserve it i say that we must vote down the previous question and allow a substitute package to prevail which will eliminate the practice of proxy voting i say to you a pox on your proxy,,357,356,7
1000000044,1000000044_00001,it is time to eliminate it and to allow the individual district of the member who speaks for that district in that subcommittee to cast the single most important vote that has to be initiated at the outset of any piece of legislation that is why as the majority should take pride in the fact that we recognize this evil of proxy voting and are willing to stake our reputations and our voting records and our prestige and our districts and our ownhonor in order to eliminate proxy voting i thank the gentleman for yielding,,95,94,7
1000000046,1000000046_00000,i thank the gentleman for yielding time to me this congress faces a tough job in trying to reduce the federal deficit to the grammrudmanhollings target of 108 billion for fiscal year 1988 we must cut the deficit by more than 65 billion compared with the 38 billion reduction we needed to make last year at this time as a result some democrats are proposing to help meet the target by raising taxes you suggested delaying thereduction in the top tax rate for individuals to 28 percent which is scheduled for next year others are talking about import fees and valueadded taxes increasing taxes to cut the deficit should be a last resort not a means of dodging our responsibility to trim government spending raising income taxes also would constitute an unforgivable breach of faith with the american people who were promised tax reform not higher taxes with good reason the public also would question whether in the long run such higher taxes were being used to reduce the deficit after all this house has a history of spending every tax dollar that becomes available and then some would higher taxes be used to perpetuate unnecessary programs would higher taxes threaten economic growth lets jettison the tax hike idea right now and show the public that we have the courage to give priority to reducing the deficit the proper wayby cutting the fat from the federal government,,237,236,7
1000000048,1000000048_00000,i thank the gentleman today we are going to take up one of the most important matters that this congress may address in its entire term of office here it is perfectly appropriate that we should take it up at this point at the opening day of the 100th congress because this congress represents a milestone in american history for 200 years this country has functioned under a form ofgovernment which if you will recall arose out of a collection of individuals outraged at taxtion without representation it arose out of the fact that the english parliament passed the stamp act which forced the american people at that time to pay a tax which they did not think was due and which they did not think was owing and which they had no part in choosing i today we have the opportunity to reaffirm the values which form this government by stating once again our opposition to taxation by reestablishing our commitment to our belief that when we passed that tax law last year which said we would reduce the rates of all americans as to what taxes they were going to pay that we are going to stand by that commitment we will say to the american people that that ink is dry and that we will not change it i think it is unfortunate that the new leadership of this house has chosen to seek a path of considering the reversal of that great decision which we made last year of raising taxes on the american people that is not a choice that the american people wanted when this country was formed and it is not a choice which the ameri can people want today we should stand by the law which we passed last year we should continue the rates at their lower level and under no circumstances should we give in to the concept that the american people should be taxed more that is where we should be addressing the problem,,335,334,7
1000000050,1000000050_00000,on a day when members both old and new are suffused with joy and have a strong feeling of brotherhood toward fellow members of both parties and are generally being thrilled at being sworn in before they get sworn at tomorrow it is probably foolish to bring up a discussion of the rules rules discussions are generally esoteric and yet what we do today on these votes is really going to define what we do the rest of the year so with small chance of success i would still ask any members who might be listening to look at suggestions given by the minority that i think would have a positive nonpartisan effect on what we do around here in the house i refer the members specifically to two one is the suspension of the rules when it concerns reconciliation limitation whomever the majority may be democratic or republican are finding it increasingly impossible to say no to other members and other committee chairmen who wish to use the reconciliation bill as a vehicle for whatever could not pass in other ways and will provide in their view a car in which they can put some new passengers all this does is simply say that the reconciliation vehicle is what the budget act said it should be it is there to cut spending or to raise revenues but it is not there to add on new programs and new costs to the federal government this would be an asset to whomever is in the majority because then they would have a rule they could depend on so that they would have backup when they wish to say no i have seen budget chairmen and former budget chairmen impossibly muddled by other subcommittee chairmen and other chairmen and find themselves ultimately with a reconciliation bill that they full well know is well beyond what it should be more importantly within the same republican document is something that i would hope could be added to the democratic document even if the republican document would not pass that is a budget process sunset review the speaker would appoint eight members of one party seven of another to see what has happened to the budget process as a member of that committee and one who must be slightly masochistic because i enjoy the process it is obvious that it is not working the house does not meet the time limits the house does not meet its schedule the house does not meet the goals and we find members increasingly frustrated we have argumen s between the appropriations committees and the authorizing committees we know the budget process is affecting those arguments and in the end all we have left is the lack of comity rather than the fullness of results what we are asking for is that we review this process and make the changes needed so we all benefit,,486,485,7
